mean,std,min,max,skewness,kurtosis,rms,entropy,zcr,spectral_centroid,spectral_bandwidth,spectral_rolloff,filename,category
-1.3780659e-06,0.061433855,-0.48049927,0.54556274,0.3929884,10.404342,0.061433855,2.9480858283930105,0.15799353792053364,4042.2812036202286,2643.1096962158636,6623.4833825768565,1-100038-A-14.wav,chirping_birds
-3.242337e-06,0.010945939,-0.08230591,0.102996826,0.15789913,8.57253,0.010945939,3.013086502386832,0.02757372933584687,2075.7388651154665,3455.6031197447114,4559.8431155742455,1-101296-A-19.wav,thunderstorm
-1.047092e-05,0.016860433,-0.16445923,0.1569519,-0.03973991,10.883121,0.016860437,2.8665901583274476,0.028876567937935034,1850.6465242552126,3093.5558441882226,3547.033153277262,1-101296-B-19.wav,thunderstorm
-0.00025349064,0.13617724,-0.94558716,0.9999695,0.027325831,2.7767787,0.13617748,3.3139395660857516,0.04132943916763341,2675.1168650710533,3530.183905042536,6261.615655814965,1-103298-A-9.wav,crow
-2.5456227e-05,0.0639674,-0.8166809,0.98013306,-0.052734457,29.311878,0.06396741,2.1704805402644287,0.01072292814675174,446.95131809465136,1005.6729283920938,696.1569659947796,1-115521-A-19.wav,thunderstorm
-1.0032741e-06,0.007016135,-0.17034912,0.16769409,0.017515304,56.551376,0.007016135,1.5250762412108438,0.13464327146171692,3763.1128624892403,2948.424111466255,6402.555716176044,1-118559-A-17.wav,pouring_water
7.0244405e-06,0.031529244,-0.45587158,0.4454956,-0.047522645,27.571661,0.031529244,1.827494928528799,0.06022399760730859,3964.9521216216276,4629.882130840061,8924.73829937645,1-12653-A-15.wav,water_drops
-1.1708785e-06,0.010473351,-0.530365,0.9728699,5.2457213,898.6346,0.010473351,0.24454047970085452,0.06928835556844548,5085.543286865246,5690.384983438567,12399.77761111514,1-12654-A-15.wav,water_drops
-1.2067245e-06,0.007927262,-0.32107544,0.29888916,0.38876706,357.79663,0.007927261,0.8099281084430804,0.07547627247679814,5116.556400754093,5783.661989670799,12525.67940200841,1-12654-B-15.wav,water_drops
0.0003447815,0.15914746,-0.62402344,0.7338867,0.030855458,0.37899375,0.15914783,3.875930714958623,0.008892156685034803,878.531353938326,2042.6741959123306,1522.462410274072,1-137296-A-16.wav,wind
