mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,chroma_1,chroma_2,chroma_3,chroma_4,chroma_5,chroma_6,chroma_7,chroma_8,chroma_9,chroma_10,chroma_11,chroma_12,contrast_1,contrast_2,contrast_3,contrast_4,contrast_5,contrast_6,contrast_7,tonnetz_1,tonnetz_2,tonnetz_3,tonnetz_4,tonnetz_5,tonnetz_6,filename,category
-254.93631,85.83962,-107.10316,31.011576,-39.987736,-17.290342,-37.214104,-18.14569,-11.705071,-17.621454,-26.893171,-13.461913,-9.417187,0.21310173,0.2549494,0.30068514,0.49204376,0.3580956,0.3707463,0.37274998,0.45591554,0.44967347,0.24055381,0.22109084,0.20356974,17.26835493979131,11.827682304875184,11.592036260877851,13.356872065975283,17.871722811022575,20.464413881993117,45.7047149005256,-0.05883626241895173,0.004074668511379967,0.05186763758881262,0.035464254702741276,-0.014805678313002118,-0.0155321231626164,1-100038-A-14.wav,chirping_birds
-466.6221,144.2614,22.96135,52.213543,2.9706805,11.319603,-2.8959332,0.07640639,-8.92912,10.0191145,-6.9630485,-5.8482037,-11.108883,0.6293378,0.47432503,0.34344274,0.3123346,0.40841398,0.48651814,0.5131954,0.5445637,0.6312572,0.7297185,0.67399365,0.66392726,17.151179524702787,9.564722761776084,13.528334226400395,15.227480644377442,14.173388260197973,16.23328832080363,28.473720657034928,0.0021364638322018984,-0.003342395161668292,-0.027320043514472484,0.07199452945361767,-0.018120449167099074,0.0017357695947148605,1-101296-A-19.wav,thunderstorm
-441.77423,153.39592,32.532093,38.86477,0.3863561,-1.5140976,2.6817217,-3.4703307,-3.5469124,5.8736734,-2.6644423,-7.838368,-6.315548,0.5910945,0.4629033,0.36001697,0.33211553,0.46580842,0.5024666,0.50570863,0.57654,0.63409597,0.714803,0.65462464,0.6351899,17.554319898954958,9.329831838131563,12.119869659619901,16.6004513129731,14.223823018051096,16.746074346496812,28.574655325375485,-0.005310860060652191,0.008005514185267053,-0.021965376021483695,0.0319611668119983,0.004954208207808326,0.005678254303904955,1-101296-B-19.wav,thunderstorm
-173.1824,131.6637,-23.350657,44.626896,-16.704086,34.943077,13.708267,24.017622,-3.575602,12.136042,-1.4853292,13.711203,4.83886,0.6613326,0.6489888,0.646895,0.6623882,0.7324211,0.7130324,0.6814885,0.67938656,0.70402384,0.66730237,0.62671846,0.6252749,10.130971968159788,8.371899797283096,11.16200344127188,14.198850447748255,16.079208960597956,15.456582412699582,42.90374139642143,0.00288295463420093,0.021413274937276575,-0.01297536546368794,-0.04192708871757396,0.009535385678259576,0.009388628280710878,1-103298-A-9.wav,crow
-400.28085,155.72517,73.404076,15.19819,5.4999294,16.989422,18.179058,7.343544,-0.92969304,-1.1682855,0.9599462,1.1176575,0.38136476,0.6789,0.6697119,0.6712304,0.6805567,0.6559376,0.6479437,0.6249187,0.607232,0.57014704,0.5813316,0.5870453,0.6339461,13.348227069459183,8.021023719913964,12.58716474499652,13.868663592888764,23.97264893539378,15.181649692479487,16.61366063776824,0.004813832594543165,0.0006225959395800753,-0.009786082850877705,0.010139706706640677,0.0040156628334470645,0.00038514971914608767,1-115521-A-19.wav,thunderstorm
-504.83087,95.641136,-87.962364,20.580029,-10.429318,-4.499552,-20.10197,-4.728533,0.074913785,-4.4580736,0.069262154,-0.5389068,-2.0359526,0.47026685,0.48718566,0.47702995,0.48772645,0.47750527,0.44541636,0.46406445,0.53080004,0.510138,0.5065383,0.47349808,0.45083943,19.177887415311048,8.707566029770858,12.980164077801927,14.62395171912838,14.884347744726787,18.238148908083442,29.46249098050216,0.015492580672923709,-0.0033185826492118957,0.017746140722297223,0.024331835169871904,0.004166639017013535,0.0025663131441740032,1-118559-A-17.wav,pouring_water
-394.7284,108.555756,5.4079676,10.749114,-6.7490587,15.3154545,10.180302,18.682049,0.61775595,10.019117,0.57231086,0.86698455,-13.97538,0.44262636,0.614285,0.695043,0.37888685,0.22852553,0.2140852,0.2206073,0.24990703,0.37139085,0.54740745,0.6304865,0.49821505,14.32745770001291,11.757197229800829,10.806354965995727,16.69743393004307,15.825722031046432,14.95435044782456,31.354532425382345,0.08893011324975895,0.04772530301342623,-0.010874031569696614,-0.2060807900559463,-0.047094262491493934,-0.0511119755659157,1-12653-A-15.wav,water_drops
-514.5597,85.66627,17.05499,23.686644,10.389066,14.282215,5.888461,10.523937,2.5806944,6.0627823,-1.4626784,1.3168167,-1.3018146,0.8502724,0.682511,0.50606424,0.41116497,0.36710292,0.39616916,0.4083845,0.44047827,0.51215,0.5908765,0.6894968,0.8750892,14.667590287287613,8.806131516169287,10.865811699973252,13.433016864226817,13.488502114032853,14.025979321829965,25.791152882468594,-0.002660105224149095,-0.052822903033992695,0.0690536563805454,-0.08791935831965307,-0.01458852288572679,-0.04385843011496579,1-12654-A-15.wav,water_drops
-514.53,88.86575,18.652565,24.808413,11.174331,17.382528,5.8598456,11.791325,1.2821323,4.6518273,-3.2359836,2.4967446,-2.481997,0.72902787,0.65686345,0.6211069,0.48858517,0.4202305,0.41229132,0.44665337,0.5021993,0.5556097,0.643106,0.7699356,0.78213394,13.960095245454445,9.145297306082808,11.364656441574535,13.166574452020006,13.432429317742237,13.932886923204887,25.42336102238456,0.008035497844003526,-0.0118646124322646,-0.018240139847772913,-0.12129417754355393,-0.011652069998089851,-0.023360825092434444,1-12654-B-15.wav,water_drops
-274.82867,163.20258,3.629049,69.5879,39.129967,17.431725,13.27264,21.432102,8.468137,1.657788,-0.89760673,4.002332,3.545826,0.6347329,0.53955454,0.53913975,0.5379817,0.52495944,0.52645636,0.581712,0.6600196,0.73589414,0.76552445,0.73562133,0.67890775,9.474756956561867,11.651872592946091,13.017057862520781,12.606528930913846,13.57446665000627,16.33603007729298,35.46655698966456,-0.017076462899425344,0.02066942199897614,-0.024059280433331682,-0.009558855255595194,-0.009064760551548928,0.016090744904300833,1-137296-A-16.wav,wind
